,data,label
0,-5.991569001759888,1.0
1,-6.087050743529513,1.0
2,-6.219976305600951,1.0
3,-6.302352710264941,1.0
4,-6.3809847328987495,1.0
5,-6.620625182830356,1.0
6,-6.976341475697585,1.0
7,-6.236826024736767,1.0
8,-2.9455142202073583,1.0
9,0.9842147204679708,1.0
10,3.7325911306210826,1.0
11,5.790129056205737,1.0
12,6.512794788030739,1.0
13,5.4213074262328735,1.0
14,1.7293467444740602,1.0
15,-1.9139369708923963,1.0
16,-3.5764425922929166,1.0
17,-4.58180916739661,1.0
18,-5.263286696889617,1.0
19,-5.742567596752828,1.0
20,-6.377240350868568,1.0
21,-7.030635015135214,1.0
22,-7.464983330636251,1.0
23,-7.927414511363649,1.0
24,-8.417928557317405,1.0
25,-8.713734737701733,1.0
26,-8.597658894766111,1.0
27,-8.341168725698687,1.0
28,-8.20824316362725,1.0
29,-8.307469287427056,1.0
30,-8.45537237761922,1.0
31,-7.135477711980293,1.0
32,-3.123372366640973,1.0
33,0.8306950572305354,1.0
34,3.6333650068212777,1.0
35,5.224727369648354,1.0
36,5.455006864504506,1.0
37,4.2511880418012,1.0
38,1.4410293281500954,1.0
39,-0.7906223618379906,1.0
40,-1.247436969520115,1.0
41,-1.518904666708263,1.0
42,-1.7304622514135095,1.0
43,-2.108644836461826,1.0
44,-2.5729482082043145,1.0
45,-3.007296523705351,1.0
46,-3.520276861840196,1.0
47,-3.9078204019639666,1.0
48,-3.681,0.0
49,-3.968,0.0
50,-4.33,0.0
51,-4.7,0.0
52,-4.95,0.0
53,-5.183,0.0
54,-5.452,0.0
55,-4.909,0.0
56,-3.459,0.0
57,-2.239,0.0
58,-1.251,0.0
59,-0.614,0.0
60,-0.422,0.0
61,-0.717,0.0
62,-1.764,0.0
63,-3.116,0.0
64,-3.793,0.0
65,-4.247,0.0
66,-4.634,0.0
67,-5.035,0.0
68,-5.302,0.0
69,-5.257,0.0
70,-5.004,0.0
71,-4.595,0.0
72,-4.167,0.0
73,-3.805,0.0
74,-3.628,0.0
75,-3.512,0.0
76,-3.433,0.0
77,-3.428,0.0
78,-3.21,0.0
79,-2.63,0.0
80,-1.613,0.0
81,-0.752,0.0
82,-0.06,0.0
83,0.356,0.0
84,0.382,0.0
85,0.009,0.0
86,-0.654,0.0
87,-1.265,0.0
88,-1.499,0.0
89,-1.699,0.0
90,-1.911,0.0
91,-2.107,0.0
92,-2.217,0.0
93,-2.336,0.0
94,-2.53,0.0
95,-2.841,0.0
96,-3.207,0.0
97,-3.537,0.0
98,-3.832,0.0
99,-4.224,0.0
100,-4.715,0.0
101,-5.008,0.0
